1,Pork - Ham Hocks - Smoked,Magnetic Resonance Imaging (MRI) of Lumbar Disc(s),10.53
2,"Split Peas - Green, Dry",Fluoroscopy of Oth Intraabd Art using Oth Contrast,80.31
3,Beer - Moosehead,"Repair Mediastinum, Percutaneous Approach",21.97
4,Veal - Knuckle,"Excision of Left Mastoid Sinus, Open Approach",56.63
5,Squash - Guords,"Reposition Uterus, Open Approach",22.38
6,Onions - Red,"Insert of Infusion Dev into L Hypogast Vein, Perc Approach",54.16
7,Chicken Breast Wing On,"Drainage of Ileocecal Valve with Drain Dev, Open Approach",87.18
8,Wine - Puligny Montrachet A.,"Supplement Right Thumb Phalanx with Autol Sub, Open Approach",45.93
9,Dried Peach,"Occlusion R Com Iliac Art w Extralum Dev, Perc Endo",6.37
10,Muffin Mix - Chocolate Chip,"Removal of Autol Sub from Fem Perineum, Perc Approach",45.36
11,Pork - Inside,"Resection of Right Lobe Liver, Perc Endo Approach",21.81
12,Sweet Pea Sprouts,"Fragmentation in Right Main Bronchus, Perc Endo Approach",20.04
13,Wine - Trimbach Pinot Blanc,"Repair Thorax Lymphatic, Percutaneous Approach",80.14
14,"Pepper - Black, Whole","Inspection of R Metatarsophal Jt, Perc Endo Approach",43.15
15,Almonds Ground Blanched,Brief Tone Stimuli Assessment using Audiometer,26.76
16,Anisette - Mcguiness,"Repair Lower Vein, Percutaneous Endoscopic Approach",52.91
17,"Rum - Coconut, Malibu","Revision of Synth Sub in L Metatarsal, Perc Endo Approach",64.29
18,Coffee - Almond Amaretto,"Removal of VAD from Trunk Subcu/Fascia, Perc Approach",98.56
19,"Spoon - Soup, Plastic","Reposition Bladder, Open Approach",60.61
20,Pears - Anjou,"Insert Intralum Dev in Intracran Vein, Perc Endo",8.7